"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       ,       "CMz"      
         120,      -5.886146104,      -4.512325982,      -4.715263894,      -6.969589971,      -2.851173249,       7.465749565,       7.465749565,      0.2117536259,       1.105324981,       1.225615202
         121,      -5.865546422,       -4.50650235,      -4.707164095,      -7.008394289,      -2.933487788,       8.958899478,       8.958899478,      0.2115564879,       1.104739864,       1.224853338
         122,      -6.001667621,       -4.51124759,      -4.717073543,      -7.007161854,      -2.941039156,       10.75067937,       10.75067937,      0.2113177291,       1.104027105,       1.223924691
         123,       -6.06114157,      -4.512613485,      -4.731809595,        -7.0052418,      -2.942758203,       12.90081525,       12.90081525,       0.211028773,       1.103159149,       1.222793961
         124,      -6.088471853,      -4.513437662,      -4.739496537,      -7.002621583,      -2.939077849,        15.4809783,        15.4809783,      0.2106793154,       1.102102927,       1.221419654
         125,      -6.085204585,      -4.514773475,      -4.738316687,      -6.999331787,      -2.932928286,       18.57717396,       18.57717396,      0.2102567075,       1.100817224,       1.219750285
         126,      -6.067352785,      -4.516104285,      -4.733209946,      -6.995438874,      -2.925600366,       22.29260875,       22.29260875,      0.2097456826,       1.099250403,       1.217721739
         127,      -6.053155075,       -4.51671675,      -4.728767982,      -6.990919724,      -2.919576802,        26.7511305,        26.7511305,      0.2091274785,       1.097336373,       1.215251964
         128,      -6.040721307,      -4.516373271,      -4.725463875,      -6.985628447,       -2.91362147,        32.1013566,        32.1013566,      0.2083764031,       1.094984791,       1.212225886
         129,      -6.018526267,      -4.515106816,      -4.721789974,      -6.979226296,      -2.905599034,       38.52162792,       38.52162792,      0.2074554186,       1.092070579,       1.208478534
         130,      -5.990251917,      -4.513069619,      -4.716796075,      -6.971802279,       -2.89508139,        46.2259535,        46.2259535,      0.2063225329,       1.088447907,       1.203819293
         131,      -5.962952443,      -4.509909542,      -4.710383024,       -6.96329703,      -2.883166843,        55.4711442,        55.4711442,       0.204956344,       1.084002733,        1.19812403
         132,      -5.931111473,      -4.505192325,      -4.703200219,      -6.953868988,      -2.871733196,       66.56537304,       66.56537304,      0.2033721892,       1.078677123,       1.191386224
         133,      -5.902039291,      -4.498546087,      -4.695150754,      -6.943809642,      -2.853698646,       6.656537304,       6.656537304,      0.2015856709,        1.07236923,        1.18356303
         134,      -5.870806086,      -4.489914997,      -4.685382034,      -6.980485913,      -2.927933451,       7.987844765,       7.987844765,      0.2014095043,       1.071746754,       1.182795222
         135,       -5.98159892,      -4.493252502,      -4.691988066,      -6.978758806,      -2.928674163,       9.585413718,       9.585413718,      0.2011992445,       1.070997191,       1.181871808
         136,      -6.034359583,      -4.493925677,      -4.701532267,      -6.976487034,      -2.927846683,       11.50249646,       11.50249646,      0.2009488866,       1.070095592,       1.180763305
         137,      -6.062655492,      -4.493783335,       -4.70694676,      -6.973533412,      -2.923262606,       13.80299575,       13.80299575,      0.2006518537,       1.069013406,       1.179437224
         138,      -6.063914787,      -4.493800968,      -4.706324341,       -6.96988089,      -2.916556379,        16.5635949,        16.5635949,      0.2003005495,       1.067716369,       1.177855192
         139,       -6.05298462,      -4.493831725,      -4.702168883,      -6.965372678,      -2.908449799,       19.87631389,       19.87631389,      0.1998859249,       1.066161669,       1.175969231
         140,       -6.03064954,      -4.493227823,      -4.697784765,      -6.960051941,      -2.900735066,       23.85157666,       23.85157666,      0.1993967555,       1.064294017,       1.173716556
         141,      -6.024862092,      -4.491622978,      -4.694292492,      -6.953679808,      -2.892095106,       28.62189199,       28.62189199,      0.1988170477,       1.062037514,       1.171007347
         142,      -5.999561188,      -4.489084156,      -4.690414676,      -6.946080107,      -2.881305307,       34.34627039,       34.34627039,      0.1981202732,       1.059281229,       1.167701499
         143,      -5.966709166,      -4.485598912,      -4.685542708,      -6.936615611,      -2.867140561,       41.21552447,       41.21552447,      0.1972659755,       1.055871526,         1.1635954
         144,       -5.95005607,      -4.481158051,      -4.679453973,       -6.92494909,      -2.848552469,       49.45862937,       49.45862937,      0.1962157205,       1.051647234,       1.158480206
         145,      -5.918037405,      -4.475197447,        -4.6719177,      -6.910764226,      -2.823955824,       59.35035524,       59.35035524,      0.1949720095,       1.046522903,       1.152283872
         146,      -5.879785876,      -4.467639253,      -4.664314052,      -6.894497379,       -2.79625764,       71.22042629,       71.22042629,      0.1935963769,       1.040522777,        1.14513418
         147,      -5.862857492,      -4.458380649,      -4.655264926,      -6.878197195,      -2.769121932,       7.122042629,       7.122042629,      0.1921627759,       1.033668404,       1.137172908
         148,      -5.827432037,      -4.446877304,      -4.645632935,       -6.91471267,       -2.84178897,       8.546451155,       8.546451155,      0.1920228439,       1.032993682,       1.136394607
         149,      -5.915707934,      -4.449889306,      -4.651657256,      -6.912088166,      -2.836669735,       10.25574139,       10.25574139,      0.1918577742,       1.032185337,       1.135463843
         150,      -5.980139647,      -4.450422438,      -4.657430879,      -6.908811142,      -2.829649181,       12.30688966,       12.30688966,      0.1916639664,       1.031218807,       1.134354048
         151,      -6.010936933,      -4.449849106,      -4.660209967,      -6.904952181,      -2.823564902,        14.7682676,        14.7682676,      0.1914380385,       1.030067186,       1.133037687
         152,      -6.021813151,      -4.448807457,      -4.658846658,      -6.900442108,      -2.818074976,       17.72192111,       17.72192111,      0.1911766119,        1.02869932,       1.131483596
         153,      -6.010228029,      -4.447241856,      -4.655138521,       -6.89512383,      -2.814180096,       21.26630534,       21.26630534,      0.1908763621,        1.02707783,       1.129654376
         154,      -5.994927788,      -4.444920126,      -4.651376101,      -6.889174966,      -2.810408344,        25.5195664,        25.5195664,      0.1905338768,       1.025156808,       1.127503115
         155,      -5.968868556,      -4.441495403,      -4.647730257,      -6.882647217,      -2.804829868,       30.62347969,       30.62347969,      0.1901432706,        1.02287539,       1.124962611
         156,      -5.948726285,       -4.43719252,      -4.643352412,      -6.875699642,      -2.797736622,       36.74817562,       36.74817562,      0.1896897106,        1.02014434,       1.121921333
