"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       
         172,      -5.146436471,      -4.383995726,      -4.481433985,       3.750793313,       3.750793313,      0.2467457987,       1.346431352
         173,      -5.159393341,       -4.38608032,      -4.479882738,       4.500951975,       4.500951975,      0.2455143829,       1.344232783
         174,      -5.160398224,      -4.386087185,      -4.479468274,        5.40114237,        5.40114237,      0.2440552491,       1.341624151
         175,      -5.161503844,      -4.386103713,       -4.47897669,       6.481370845,       6.481370845,      0.2423315688,       1.338537448
         176,      -5.162775797,      -4.386135726,      -4.478403646,       7.777645013,       7.777645013,      0.2403033895,       1.334898187
         177,      -5.164255161,      -4.386187343,      -4.477745123,       9.333174016,       9.333174016,      0.2379291419,       1.330627782
         178,      -5.165970247,      -4.386265326,      -4.477000923,       11.19980882,       11.19980882,      0.2351684712,         1.3256481
         179,      -5.167935108,      -4.386382261,      -4.476177937,       13.43977058,       13.43977058,      0.2319870765,       1.319889285
         180,       -5.17014005,      -4.386560879,      -4.475294481,        16.1277247,        16.1277247,      0.2283645305,        1.31330279
         181,      -5.172534294,      -4.386840311,      -4.474386668,       19.35326964,       19.35326964,      0.2243065597,       1.305882858
         182,      -5.174998496,      -4.387285349,      -4.473519316,       23.22392357,       23.22392357,       0.219864007,       1.297701497
         183,      -5.177307094,      -4.387996776,      -4.472799803,       27.86870828,       27.86870828,      0.2151618974,       1.288964333
         184,      -5.179074909,      -4.389124487,      -4.472409875,       33.44244994,       33.44244994,      0.2104385337,        1.28008935
         185,      -5.179702389,      -4.390882186,      -4.472651279,       40.13093993,       40.13093993,       0.206088247,       1.271804075
         186,      -5.178385139,      -4.393572667,      -4.474011307,       4.013093993,       4.013093993,      0.2026904876,       1.265247841
         187,      -5.174468191,      -4.397617746,      -4.477177459,       4.815712791,       4.815712791,      0.2023676895,       1.264624207
         188,      -5.173777259,      -4.397871134,      -4.477259618,       5.778855349,       5.778855349,       0.202005999,       1.263924317
         189,      -5.172790423,      -4.398164018,      -4.477361632,       6.934626419,       6.934626419,      0.2016085956,       1.263153697
         190,      -5.171523568,       -4.39851263,      -4.477517287,       8.321551703,       8.321551703,      0.2011840165,       1.262328278
         191,      -5.169948484,      -4.398935096,      -4.477760208,       9.985862043,       9.985862043,      0.2007490107,       1.261479939
         192,      -5.168011343,       -4.39945447,      -4.478136113,       11.98303445,       11.98303445,      0.2003326258,       1.260664442
         193,      -5.165637842,      -4.400101688,      -4.478709903,       14.37964134,       14.37964134,      0.1999819125,       1.259972657
         194,      -5.162738515,      -4.400919807,      -4.479572559,       17.25556961,       17.25556961,      0.1997696063,       1.259546217
         195,      -5.159220018,      -4.401969953,      -4.480848669,       20.70668353,       20.70668353,      0.1998045477,       1.259600112
         196,      -5.155002914,      -4.403338681,      -4.482707917,       24.84802024,       24.84802024,      0.2002450992,       1.260453979
         197,      -5.150056355,      -4.405144885,      -4.485383188,       29.81762429,       29.81762429,       0.201313617,       1.262570334
         198,      -5.144461621,      -4.407543929,      -4.489197163,       35.78114915,       35.78114915,      0.2033044253,       1.266589654
         199,      -5.138506232,      -4.410730115,      -4.494599575,       3.578114915,       3.578114915,      0.2065724551,       1.273349129
         200,      -5.132832571,      -4.414945872,      -4.502208815,       4.293737897,       4.293737897,      0.2069087974,       1.274046546
         201,       -5.13254273,      -4.415236516,      -4.502848721,       5.152485477,       5.152485477,      0.2073246527,       1.274910827
         202,      -5.131893098,      -4.415567645,      -4.503590425,       6.182982572,       6.182982572,      0.2078408412,       1.275986603
         203,      -5.130998256,      -4.415954473,      -4.504482836,       7.419579087,       7.419579087,      0.2084841826,       1.277331835
         204,      -5.129911474,      -4.416414778,       -4.50557839,       8.903494904,       8.903494904,      0.2092892748,       1.279022061
         205,      -5.128665604,      -4.416970479,      -4.506940337,       10.68419389,       10.68419389,      0.2103006785,       1.281155799
         206,      -5.127293381,      -4.417648379,      -4.508647892,       12.82103266,       12.82103266,      0.2115754705,       1.283861338
         207,      -5.125842954,      -4.418482811,      -4.510801408,       15.38523919,       15.38523919,       0.213186065,       1.287305294
         208,      -5.124395944,      -4.419519923,      -4.513528062,       18.46228703,       18.46228703,       0.215222989,       1.291703407
         209,      -5.123091397,      -4.420823492,       -4.51698852,       22.15474444,       22.15474444,      0.2177966772,       1.297333166
         210,       -5.12215829,      -4.422482724,       -4.52138515,       26.58569333,       26.58569333,      0.2210358816,       1.304546048
