"Inner_Iter",     "rms[k]"     ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       
         179,      -6.974033633,       93.33174016,       93.33174016,      0.2448815971,       1.889584323
         180,      -6.971782813,       9.333174016,       9.333174016,      0.2497262234,       1.902288075
         181,      -6.982196741,       11.19980882,       11.19980882,      0.2502148536,       1.903565448
         182,      -6.980962417,       13.43977058,       13.43977058,      0.2508047535,       1.905100119
         183,      -6.979617999,        16.1277247,        16.1277247,      0.2515172412,       1.906929142
         184,      -6.978810016,       19.35326964,       19.35326964,      0.2523774502,       1.909080456
         185,      -6.977989996,       23.22392357,       23.22392357,      0.2534220425,       1.911624437
         186,      -6.976604996,       27.86870828,       27.86870828,      0.2547010423,       1.914734391
         187,      -6.974654765,       33.44244994,       33.44244994,      0.2562575625,       1.918619057
         188,      -6.972473632,       40.13093993,       40.13093993,       0.258117412,       1.923371143
         189,      -6.970137595,       48.15712791,       48.15712791,      0.2603047931,       1.928906823
         190,      -6.966394125,       57.78855349,       57.78855349,      0.2628749686,       1.935103268
         191,      -6.960145061,       69.34626419,       69.34626419,      0.2659013409,       1.941915382
         192,      -6.951304412,       83.21551703,       83.21551703,      0.2694275844,       1.949327283
         193,      -6.939179027,       99.85862043,       99.85862043,      0.2734758964,       1.957304919
         194,      -6.924814529,       9.985862043,       9.985862043,      0.2781236197,        1.96584782
         195,      -6.929256058,       11.98303445,       11.98303445,      0.2785894261,       1.966700827
         196,      -6.926615515,       14.37964134,       14.37964134,      0.2791448282,       1.967705542
         197,      -6.923980807,       17.25556961,       17.25556961,      0.2798030175,       1.968857122
         198,       -6.92165584,       20.70668353,       20.70668353,      0.2805761081,       1.970127572
         199,      -6.919321741,       24.84802024,       24.84802024,      0.2814793776,       1.971522677
         200,      -6.916795878,       29.81762429,       29.81762429,      0.2825463792,       1.973184445
         201,      -6.914399163,       35.78114915,       35.78114915,      0.2838297017,       1.975349057
         202,      -6.912991482,       42.93737897,       42.93737897,      0.2853937311,       1.978157696
         203,      -6.913300582,       51.52485477,       51.52485477,       0.287343804,       1.981645221
         204,      -6.915853193,       61.82982572,       61.82982572,       0.289868643,       1.985950818
         205,      -6.920365274,       6.182982572,       6.182982572,      0.2932158249,       1.991429691
         206,      -6.925549607,       7.419579087,       7.419579087,      0.2935528859,       1.991979158
         207,      -6.924847067,       8.903494904,       8.903494904,      0.2939593268,       1.992637021
         208,      -6.924563612,       10.68419389,       10.68419389,      0.2944512544,       1.993426543
         209,      -6.925174473,       12.82103266,       12.82103266,      0.2950474499,       1.994368307
         210,      -6.926700382,       15.38523919,       15.38523919,      0.2957642888,       1.995461835
         211,      -6.928766554,       18.46228703,       18.46228703,      0.2966148811,       1.996687561
         212,      -6.930922011,       22.15474444,       22.15474444,      0.2976279953,       1.998083592
         213,      -6.933284948,       26.58569333,       26.58569333,      0.2989096244,       1.999934708
         214,      -6.936325324,       31.90283199,       31.90283199,      0.3005956818,       2.002621688
         215,      -6.939910395,       38.28339839,       38.28339839,      0.3027791972,       2.006343624
         216,      -6.942580364,       45.94007807,       45.94007807,      0.3055120252,        2.01105552
         217,       -6.94236893,       55.12809369,       55.12809369,      0.3088673295,       2.016658937
         218,      -6.936426082,       66.15371242,       66.15371242,      0.3130638089,        2.02343175
         219,      -6.928363069,       6.615371242,       6.615371242,      0.3182756144,       2.031648257
         220,      -6.946676606,       7.938445491,       7.938445491,      0.3188001908,       2.032474999
         221,      -6.944763163,       9.526134589,       9.526134589,      0.3194322508,       2.033469232
         222,      -6.942532143,       11.43136151,       11.43136151,      0.3201928715,       2.034659383
         223,      -6.940440146,       13.71763381,       13.71763381,      0.3211063303,       2.036069342
         224,      -6.938951369,       16.46116057,       16.46116057,      0.3222012362,       2.037714217
         225,      -6.937632099,       19.75339268,       19.75339268,      0.3235194188,       2.039631271
         226,      -6.935839932,       23.70407122,       23.70407122,      0.3251385209,       2.041981479
         227,      -6.933162991,       28.44488546,       28.44488546,      0.3271653358,        2.04507636
         228,      -6.929604175,       34.13386256,       34.13386256,      0.3296864353,       2.049206543
         229,      -6.924929904,       40.96063507,       40.96063507,      0.3326935572,       2.054321645
         230,      -6.919203074,       49.15276208,       49.15276208,      0.3361595335,       2.060141637
         231,      -6.919632073,       4.915276208,       4.915276208,      0.3401474678,       2.066506589
         232,      -6.940346965,        5.89833145,        5.89833145,      0.3405445901,       2.067137218
         233,      -6.939637274,        7.07799774,        7.07799774,      0.3410193709,         2.0678862
         234,      -6.938646582,       8.493597288,       8.493597288,      0.3415868371,       2.068773844
         235,      -6.937404734,       10.19231675,       10.19231675,      0.3422650053,       2.069821976
         236,      -6.936421704,       12.23078009,       12.23078009,      0.3430755126,       2.071051109
         237,      -6.935715968,       14.67693611,       14.67693611,      0.3440445513,        2.07247697
         238,      -6.934782943,       1.467693611,       1.467693611,      0.3452058046,       2.074119653
         239,      -6.940811074,       1.761232334,       1.761232334,      0.3453218341,       2.074283108
         240,      -6.940616406,         2.1134788,         2.1134788,      0.3454611006,       2.074478369
         241,      -6.940313977,                 1,                 1,      0.3456282541,       2.074711392
         242,      -6.940740123,                 1,                 1,      0.3457073452,       2.074821351
         243,      -6.940666157,                 1,                 1,      0.3457864464,       2.074931029
         244,      -6.940590596,                 1,                 1,      0.3458655589,       2.075040432
         245,      -6.940515843,               1.2,               1.2,      0.3459446846,       2.075149566
         246,      -6.940333598,              1.44,              1.44,      0.3460396598,       2.075280157
         247,      -6.940120913,             1.728,             1.728,      0.3461536727,       2.075436359
         248,      -6.939875832,            2.0736,            2.0736,      0.3462905647,        2.07562313
         249,      -6.939596192,           2.48832,           2.48832,      0.3464549728,       2.075846396
         250,      -6.939278158,          2.985984,          2.985984,      0.3466525092,       2.076113292
         251,      -6.938917146,                 1,                 1,      0.3468899876,       2.076432493
         252,      -6.939889344,               1.2,               1.2,       0.346969563,       2.076539274
         253,      -6.939755146,              1.44,              1.44,      0.3470651386,         2.0766673
         254,      -6.939588693,             1.728,             1.728,      0.3471799579,       2.076820812
         255,      -6.939384734,                 1,                 1,      0.3473179386,       2.077004944
         256,      -6.939696302,                 1,                 1,      0.3473978552,       2.077111488
         257,       -6.93965826,                 1,                 1,      0.3474778453,       2.077218044
         258,      -6.939617971,                 1,                 1,      0.3475579117,        2.07732463
         259,       -6.93957571,               1.2,               1.2,      0.3476380579,       2.077431269
         260,      -6.939429656,              1.44,              1.44,      0.3477343543,       2.077559349
         261,      -6.939251791,             1.728,             1.728,      0.3478500943,       2.077713275
         262,      -6.939036798,            2.0736,            2.0736,      0.3479892668,       2.077898441
