"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     
          0,           0,         285,      -6.756874005,      -5.400819285,      -5.562249353
          0,           0,         286,      -6.761060847,      -5.403062015,      -5.566467721
          0,           0,         287,      -6.765246778,       -5.40562977,      -5.571508722
          0,           0,         288,      -6.769814686,      -5.408613639,       -5.57754863
          0,           0,         289,       -6.77496806,      -5.412105246,      -5.584842508
          0,           0,         290,      -6.780765849,      -5.416194673,      -5.593709999
          0,           0,         291,      -6.787119748,      -5.420966332,      -5.604534898
          0,           0,         292,      -6.793840901,      -5.426488794,      -5.617775772
          0,           0,         293,      -6.800726699,      -5.432807132,      -5.633988284
          0,           0,         294,      -6.807421038,      -5.439952619,      -5.653883875
          0,           0,         295,      -6.813212471,      -5.447952881,      -5.678402385
          0,           0,         296,      -6.817171182,      -5.456839068,      -5.708699776
          0,           0,         297,      -6.854070336,      -5.457852279,      -5.711957503
          0,           0,         298,      -6.861543261,      -5.458965081,      -5.716009698
          0,           0,         299,       -6.86464619,      -5.460171273,      -5.720941363
          0,           0,         300,      -6.866924461,      -5.461512045,      -5.726752596
          0,           0,         301,      -6.869434518,      -5.463056527,      -5.733590444
          0,           0,         302,      -6.872609661,      -5.464877643,       -5.74172891
          0,           0,         303,      -6.876515414,      -5.467049656,      -5.751508913
          0,           0,         304,      -6.880872338,       -5.46964936,      -5.763304897
          0,           0,         305,      -6.885116342,      -5.472750646,      -5.777513984
          0,           0,         306,      -6.888700755,      -5.476421937,      -5.794531998
          0,           0,         307,      -6.891456251,      -5.480742783,      -5.814739367
          0,           0,         308,      -6.893244494,      -5.485845886,      -5.838546238
          0,           0,         309,      -6.893403251,      -5.491951479,      -5.866336857
          0,           0,         310,      -6.918961278,      -5.492667625,      -5.869650433
          0,           0,         311,      -6.924157497,      -5.493447189,      -5.873539864
          0,           0,         312,      -6.926062161,      -5.494326581,      -5.878190005
          0,           0,         313,      -6.927186642,      -5.495339276,      -5.883497195
          0,           0,         314,      -6.928419978,      -5.496540533,      -5.889555376
          0,           0,         315,      -6.930189108,      -5.497991426,      -5.896585409
          0,           0,         316,      -6.932609091,       -5.49976265,      -5.904836654
          0,           0,         317,      -6.935463164,      -5.501937588,      -5.914520706
          0,           0,         318,      -6.938228359,      -5.504609028,      -5.925780762
          0,           0,         319,      -6.940310249,      -5.507877529,      -5.938632807
          0,           0,         320,      -6.941628981,      -5.511857535,      -5.952861057
          0,           0,         321,      -6.942725945,      -5.516709251,       -5.96800693
          0,           0,         322,      -6.943767006,        -5.5226822,      -5.983432199
          0,           0,         323,      -6.943942489,      -5.530134657,      -5.998113622
          0,           0,         324,      -6.964809416,      -5.531023906,      -6.000608461
